form	lemma	POS	morph
		
༄༅། །		PUNCT
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
འབྲི་	འབྲི་	VERB
ཁུང་པ་	ཁུང་པ་	NOUN
ཁུ་དབོན་	ཁུ་དབོན་	PROPN
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
ཐར་པ་	ཐར་པ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
"། །

༄༅། །"		PUNCT
འགྲན་	འགྲན་	NO_POS
གྱི་	གི་	PART
ཟླ་	ཟླ་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
དང་	དང་	NO_POS
བྲལ་བ་	བྲལ་བ་	VERB
མཉམ་མེད་	མཉམ་མེད་	ADJ
དྭགས་པོ་	དྭགས་པོ་	OTHER
བཀའ་	བཀའ་	NOUN
བརྒྱུད་	བརྒྱུད་	NO_POS
ཀྱི་	གི་	PART
སྤྲུལ་པ་	སྤྲུལ་པ་	VERB
འི་	གི་	PART
སྐྱེས་ཆེན་	སྐྱེས་ཆེན་	OTHER
ཇི་སྙེད་	ཇི་སྙེད་	OTHER
བྱོན་པ་	བྱོན་པ་	VERB
དེ་སྙེད་	དེ་སྙེད་	NO_POS
ཀྱི་	གི་	PART
ངོ་བོ་	ངོ་བོ་	NOUN
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
མཉན་པ་	མཉན་པ་	VERB
ལ་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ཏེ་	སྟེ་	PART
།		PUNCT
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
འབྲི་	འབྲི་	VERB
ཁུང་པ་	ཁུང་པ་	NOUN
འི་	གི་	PART
ཆེ་བ་	ཆེ་བ་	VERB
འི་	གི་	PART
ཡོན་ཏན་	ཡོན་ཏན་	NOUN
ཅུང་ཟད་	ཅུང་ཟད་	ADV
ཅིག་	ཅིག་	PART
བརྗོད་པ་	བརྗོད་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དེ་ཡང་	དེ་ཡང་	ADV
འདི་ལྟར་	འདི་ལྟར་	NO_POS
ཐོ་	ཐོ་	VERB
ཏེ་	སྟེ་	PART
།		PUNCT
མགོན་པོ་	མགོན་པོ་	NOUN
འབྲི་	འབྲི་	VERB
ཁུང་པ་	ཁུང་པ་	NOUN
སྐྱོབ་པ་	སྐྱོབ་པ་	VERB
འཇིག་རྟེན་	འཇིག་རྟེན་	NOUN
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
མགོན་པོ་	མགོན་པོ་	NOUN
འི་	གི་	PART
དགེ་སློང་	དགེ་སློང་	NOUN
རིན་ཆེན་	རིན་ཆེན་	OTHER
དཔལ་	དཔལ་	OTHER
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བོད་	བོད་	PROPN
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
ས་	ས་	ADP
ར་	ལ་	PART
སྐུ་	སྐུ་	NOUN
འཁྲུངས་	འཁྲུངས་	NO_POS
ན་	ནས་	PART
དབུ་	དབུ་	NOUN
གཙང་	གཙང་	PROPN
གི་	གི་	PART
ཡུལ་	ཡུལ་	NOUN
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
ཀྱི་	གི་	PART
བསྟན་པ་	བསྟན་པ་	VERB
དྲི་བྲལ་	དྲི་བྲལ་	NO_POS
དུ་	ལ་	PART
བཞུགས་པ་	བཞུགས་པ་	VERB
འི་	གི་	PART
ཕྱོགས་	ཕྱོགས་	NOUN
སུ་	ལ་	PART
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
ཀྱི་	གི་	PART
སྙིང་པོ་	སྙིང་པོ་	NOUN
འི་	གི་	PART
དངོས་པོ་	དངོས་པོ་	NOUN
ལེན་པ་	ལེན་པ་	VERB
